MÊS;PRODUTO;REGIÃO;ESTADO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
jul/01;ETANOL HIDRATADO;NORTE;ACRE;110;R$/l;1,332;0,027;1,200;1,390;0,191;0,021;1,141;0,048;0,900;1,200;0,042
jul/01;ETANOL HIDRATADO;NORDESTE;ALAGOAS;258;R$/l;1,023;0,084;0,880;1,300;0,113;0,082;0,910;0,077;0,749;1,126;0,085
jul/01;ETANOL HIDRATADO;NORTE;AMAPA;64;R$/l;1,331;0,065;0,881;1,430;0,208;0,049;1,123;0,051;0,809;1,197;0,045
jul/01;ETANOL HIDRATADO;NORTE;AMAZONAS;246;R$/l;1,220;0,069;1,120;1,390;0,166;0,056;1,054;0,053;0,780;1,189;0,051
jul/01;ETANOL HIDRATADO;NORDESTE;BAHIA;665;R$/l;1,153;0,078;0,837;1,580;0,186;0,068;0,967;0,077;0,520;1,174;0,080
jul/01;ETANOL HIDRATADO;NORDESTE;CEARA;643;R$/l;1,163;0,067;1,005;1,390;0,162;0,057;1,001;0,047;0,799;1,088;0,047
jul/01;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;515;R$/l;1,175;0,010;1,100;1,230;0,359;0,009;0,816;0,089;0,441;1,086;0,109
jul/01;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;160;R$/l;1,179;0,014;1,150;1,200;0,261;0,012;0,917;0,069;0,734;1,155;0,075
jul/01;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;377;R$/l;0,977;0,062;0,809;1,490;0,217;0,064;0,760;0,076;0,500;0,953;0,100
jul/01;ETANOL HIDRATADO;NORDESTE;MARANHAO;92;R$/l;1,198;0,075;0,838;1,400;0,171;0,062;1,027;0,087;0,620;1,143;0,085
jul/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;266;R$/l;1,033;0,119;0,807;1,290;0,207;0,115;0,826;0,112;0,612;1,100;0,135
jul/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;303;R$/l;1,129;0,081;0,999;1,300;0,218;0,072;0,911;0,084;0,620;1,039;0,093
jul/01;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;1673;R$/l;1,030;0,094;0,750;1,405;0,217;0,092;0,813;0,111;0,426;1,078;0,137
jul/01;ETANOL HIDRATADO;NORTE;PARA;202;R$/l;1,306;0,084;1,170;1,490;0,186;0,064;1,120;0,110;0,660;1,578;0,098
jul/01;ETANOL HIDRATADO;NORDESTE;PARAIBA;200;R$/l;1,129;0,050;0,990;1,190;0,204;0,044;0,925;0,100;0,626;1,099;0,109
jul/01;ETANOL HIDRATADO;SUL;PARANA;943;R$/l;0,897;0,126;0,677;1,100;0,190;0,141;0,707;0,087;0,465;1,046;0,124
jul/01;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;1008;R$/l;1,057;0,106;0,790;1,350;0,168;0,100;0,889;0,080;0,434;1,155;0,090
jul/01;ETANOL HIDRATADO;NORDESTE;PIAUI;211;R$/l;1,261;0,022;1,190;1,300;0,215;0,017;1,047;0,080;0,797;1,228;0,077
jul/01;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;2262;R$/l;1,008;0,149;0,699;1,390;0,188;0,148;0,820;0,138;0,470;1,561;0,169
jul/01;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;231;R$/l;1,142;0,038;1,050;1,300;0,155;0,033;0,987;0,059;0,754;1,104;0,060
jul/01;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;702;R$/l;1,152;0,107;0,743;1,450;0,216;0,093;0,936;0,086;0,473;1,196;0,092
jul/01;ETANOL HIDRATADO;NORTE;RONDONIA;109;R$/l;1,223;0,057;1,130;1,350;0,204;0,046;1,018;0,080;0,696;1,135;0,079
jul/01;ETANOL HIDRATADO;NORTE;RORAIMA;100;R$/l;1,292;0,027;1,220;1,330;0,245;0,021;1,047;0,016;1,028;1,084;0,015
jul/01;ETANOL HIDRATADO;SUL;SANTA CATARINA;247;R$/l;1,094;0,059;0,960;1,290;0,186;0,054;0,908;0,100;0,572;1,060;0,110
jul/01;ETANOL HIDRATADO;SUDESTE;SAO PAULO;6074;R$/l;0,876;0,118;0,639;1,299;0,171;0,134;0,704;0,117;0,318;1,357;0,166
jul/01;ETANOL HIDRATADO;NORDESTE;SERGIPE;134;R$/l;1,118;0,039;1,050;1,300;0,159;0,034;0,959;0,081;0,540;1,103;0,085
jul/01;ETANOL HIDRATADO;NORTE;TOCANTINS;104;R$/l;1,178;0,035;0,950;1,253;0,379;0,030;0,799;0,124;0,559;1,138;0,155
ago/01;ETANOL HIDRATADO;NORTE;ACRE;100;R$/l;1,345;0,049;1,250;1,470;0,189;0,036;1,156;0,057;0,900;1,257;0,049
ago/01;ETANOL HIDRATADO;NORDESTE;ALAGOAS;491;R$/l;1,053;0,093;0,880;1,260;0,170;0,088;0,883;0,106;0,639;1,126;0,120
ago/01;ETANOL HIDRATADO;NORTE;AMAPA;66;R$/l;1,360;0,063;1,300;1,650;0,214;0,047;1,146;0,047;1,100;1,342;0,041
ago/01;ETANOL HIDRATADO;NORTE;AMAZONAS;201;R$/l;1,203;0,076;1,110;1,390;0,175;0,063;1,028;0,044;0,906;1,150;0,043
ago/01;ETANOL HIDRATADO;NORDESTE;BAHIA;1102;R$/l;1,193;0,100;0,980;1,580;0,225;0,084;0,968;0,079;0,520;1,242;0,081
ago/01;ETANOL HIDRATADO;NORDESTE;CEARA;1276;R$/l;1,184;0,091;0,961;1,390;0,178;0,077;1,006;0,053;0,789;1,159;0,052
ago/01;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;410;R$/l;1,173;0,012;1,100;1,230;0,360;0,010;0,812;0,081;0,491;1,094;0,100
ago/01;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;564;R$/l;1,152;0,032;1,080;1,300;0,256;0,028;0,896;0,067;0,630;1,110;0,075
ago/01;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;810;R$/l;1,017;0,077;0,850;1,200;0,245;0,076;0,773;0,090;0,425;1,013;0,117
ago/01;ETANOL HIDRATADO;NORDESTE;MARANHAO;161;R$/l;1,213;0,074;0,838;1,500;0,196;0,061;1,018;0,081;0,620;1,143;0,080
ago/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;308;R$/l;1,045;0,132;0,740;1,290;0,237;0,126;0,808;0,104;0,542;1,100;0,128
ago/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;446;R$/l;1,149;0,097;0,890;1,406;0,253;0,085;0,896;0,112;0,620;1,150;0,125
ago/01;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;2621;R$/l;1,049;0,094;0,749;1,499;0,237;0,090;0,812;0,116;0,446;1,120;0,143
ago/01;ETANOL HIDRATADO;NORTE;PARA;241;R$/l;1,327;0,112;1,080;1,590;0,201;0,085;1,126;0,102;0,649;1,282;0,091
ago/01;ETANOL HIDRATADO;NORDESTE;PARAIBA;307;R$/l;1,123;0,055;0,949;1,290;0,182;0,049;0,941;0,095;0,622;1,099;0,101
ago/01;ETANOL HIDRATADO;SUL;PARANA;1541;R$/l;0,883;0,117;0,649;1,120;0,174;0,133;0,708;0,086;0,501;1,056;0,122
ago/01;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;1577;R$/l;1,065;0,128;0,700;1,490;0,183;0,120;0,882;0,081;0,506;1,147;0,092
ago/01;ETANOL HIDRATADO;NORDESTE;PIAUI;219;R$/l;1,268;0,012;1,200;1,299;0,259;0,009;1,010;0,107;0,434;1,231;0,106
ago/01;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;2791;R$/l;1,033;0,145;0,690;1,399;0,214;0,140;0,819;0,138;0,440;1,156;0,168
ago/01;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;457;R$/l;1,148;0,052;1,050;1,300;0,144;0,045;1,004;0,063;0,800;1,107;0,062
ago/01;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;2045;R$/l;1,193;0,133;0,792;1,590;0,263;0,111;0,930;0,111;0,518;1,196;0,120
ago/01;ETANOL HIDRATADO;NORTE;RONDONIA;114;R$/l;1,237;0,063;1,130;1,400;0,238;0,051;0,999;0,109;0,616;1,296;0,109
ago/01;ETANOL HIDRATADO;NORTE;RORAIMA;91;R$/l;1,295;0,035;1,220;1,510;0,252;0,027;1,043;0,042;0,812;1,080;0,040
ago/01;ETANOL HIDRATADO;SUL;SANTA CATARINA;361;R$/l;1,088;0,078;0,750;1,339;0,205;0,072;0,883;0,090;0,572;1,142;0,102
ago/01;ETANOL HIDRATADO;SUDESTE;SAO PAULO;10234;R$/l;0,868;0,108;0,669;1,299;0,179;0,125;0,689;0,105;0,400;1,025;0,153
ago/01;ETANOL HIDRATADO;NORDESTE;SERGIPE;123;R$/l;1,127;0,050;0,860;1,362;0,146;0,045;0,982;0,091;0,431;1,103;0,093
ago/01;ETANOL HIDRATADO;NORTE;TOCANTINS;139;R$/l;1,197;0,043;1,100;1,400;0,388;0,036;0,809;0,127;0,638;1,140;0,157
set/01;ETANOL HIDRATADO;NORTE;ACRE;113;R$/l;1,359;0,063;1,250;1,470;0,198;0,046;1,161;0,057;1,000;1,257;0,049
set/01;ETANOL HIDRATADO;NORDESTE;ALAGOAS;378;R$/l;1,053;0,094;0,890;1,250;0,193;0,089;0,860;0,129;0,589;1,056;0,150
set/01;ETANOL HIDRATADO;NORTE;AMAPA;66;R$/l;1,370;0,079;1,300;1,650;0,224;0,058;1,147;0,059;1,100;1,421;0,051
set/01;ETANOL HIDRATADO;NORTE;AMAZONAS;235;R$/l;1,208;0,077;0,875;1,390;0,184;0,064;1,025;0,044;0,749;1,144;0,043
set/01;ETANOL HIDRATADO;NORDESTE;BAHIA;1294;R$/l;1,193;0,098;0,980;1,580;0,221;0,082;0,972;0,086;0,520;1,337;0,089
set/01;ETANOL HIDRATADO;NORDESTE;CEARA;984;R$/l;1,179;0,101;0,979;1,390;0,163;0,085;1,016;0,062;0,628;1,159;0,061
set/01;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;358;R$/l;1,171;0,011;1,100;1,230;0,334;0,009;0,838;0,065;0,498;0,966;0,078
set/01;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;1053;R$/l;1,134;0,057;0,999;1,400;0,243;0,050;0,891;0,066;0,630;1,110;0,074
set/01;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;1057;R$/l;1,022;0,083;0,810;1,199;0,252;0,082;0,770;0,095;0,425;1,155;0,124
set/01;ETANOL HIDRATADO;NORDESTE;MARANHAO;296;R$/l;1,250;0,075;1,012;1,500;0,219;0,060;1,031;0,077;0,620;1,144;0,075
set/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;422;R$/l;1,077;0,145;0,790;1,370;0,269;0,134;0,808;0,109;0,611;1,100;0,135
set/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;469;R$/l;1,142;0,100;0,980;1,369;0,255;0,087;0,887;0,124;0,618;1,150;0,139
set/01;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;3687;R$/l;1,056;0,094;0,650;1,490;0,250;0,089;0,806;0,128;0,418;1,187;0,158
set/01;ETANOL HIDRATADO;NORTE;PARA;456;R$/l;1,351;0,126;0,990;1,790;0,244;0,093;1,107;0,149;0,585;1,298;0,135
set/01;ETANOL HIDRATADO;NORDESTE;PARAIBA;355;R$/l;1,124;0,064;0,980;1,290;0,194;0,057;0,930;0,085;0,553;1,068;0,092
set/01;ETANOL HIDRATADO;SUL;PARANA;2084;R$/l;0,911;0,100;0,640;1,100;0,209;0,110;0,703;0,086;0,474;1,005;0,122
set/01;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;1437;R$/l;1,068;0,133;0,700;1,480;0,183;0,124;0,886;0,089;0,520;1,069;0,101
set/01;ETANOL HIDRATADO;NORDESTE;PIAUI;267;R$/l;1,268;0,018;1,200;1,310;0,236;0,014;1,032;0,087;0,757;1,230;0,085
set/01;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;2952;R$/l;1,036;0,147;0,690;1,399;0,210;0,141;0,827;0,140;0,460;1,156;0,169
set/01;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;339;R$/l;1,150;0,060;1,050;1,500;0,147;0,052;1,003;0,083;0,738;1,332;0,083
set/01;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;2202;R$/l;1,197;0,130;0,698;1,450;0,280;0,109;0,917;0,111;0,573;1,165;0,121
set/01;ETANOL HIDRATADO;NORTE;RONDONIA;275;R$/l;1,258;0,059;1,130;1,400;0,290;0,047;0,968;0,123;0,549;1,157;0,127
set/01;ETANOL HIDRATADO;NORTE;RORAIMA;96;R$/l;1,295;0,024;1,220;1,330;0,247;0,019;1,048;0,018;1,007;1,080;0,018
set/01;ETANOL HIDRATADO;SUL;SANTA CATARINA;1101;R$/l;1,150;0,087;0,880;1,340;0,263;0,076;0,887;0,112;0,566;1,118;0,126
set/01;ETANOL HIDRATADO;SUDESTE;SAO PAULO;10682;R$/l;0,869;0,107;0,630;1,299;0,177;0,123;0,692;0,106;0,380;1,080;0,153
set/01;ETANOL HIDRATADO;NORDESTE;SERGIPE;173;R$/l;1,145;0,045;1,030;1,362;0,162;0,039;0,983;0,091;0,607;1,085;0,093
set/01;ETANOL HIDRATADO;NORTE;TOCANTINS;163;R$/l;1,215;0,056;1,100;1,400;0,389;0,046;0,826;0,125;0,649;1,125;0,152
out/01;ETANOL HIDRATADO;NORTE;ACRE;124;R$/l;1,335;0,056;1,130;1,470;0,190;0,042;1,145;0,065;0,913;1,266;0,057
out/01;ETANOL HIDRATADO;NORDESTE;ALAGOAS;450;R$/l;1,094;0,069;0,900;1,290;0,213;0,063;0,881;0,124;0,529;1,185;0,141
out/01;ETANOL HIDRATADO;NORTE;AMAPA;70;R$/l;1,368;0,090;1,130;1,650;0,248;0,066;1,120;0,030;1,067;1,201;0,027
out/01;ETANOL HIDRATADO;NORTE;AMAZONAS;280;R$/l;1,228;0,065;1,110;1,390;0,202;0,053;1,025;0,034;0,901;1,144;0,034
out/01;ETANOL HIDRATADO;NORDESTE;BAHIA;1626;R$/l;1,194;0,102;0,856;1,580;0,221;0,085;0,974;0,081;0,520;1,337;0,084
out/01;ETANOL HIDRATADO;NORDESTE;CEARA;1220;R$/l;1,180;0,104;0,961;1,500;0,164;0,088;1,017;0,069;0,628;1,159;0,067
out/01;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;500;R$/l;1,172;0,017;0,900;1,218;0,327;0,014;0,845;0,069;0,559;1,104;0,081
out/01;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;1304;R$/l;1,159;0,053;0,850;1,500;0,271;0,046;0,888;0,060;0,630;1,044;0,068
out/01;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;1463;R$/l;1,050;0,072;0,820;1,470;0,275;0,068;0,775;0,092;0,475;1,155;0,119
out/01;ETANOL HIDRATADO;NORDESTE;MARANHAO;387;R$/l;1,256;0,076;1,100;1,490;0,217;0,061;1,039;0,061;0,879;1,157;0,058
out/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;588;R$/l;1,110;0,140;0,799;1,370;0,272;0,126;0,838;0,102;0,551;1,100;0,121
out/01;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;578;R$/l;1,153;0,105;0,970;1,390;0,269;0,091;0,883;0,113;0,605;1,072;0,128
out/01;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;4718;R$/l;1,066;0,095;0,700;1,580;0,260;0,089;0,806;0,125;0,418;1,200;0,155
out/01;ETANOL HIDRATADO;NORTE;PARA;573;R$/l;1,353;0,134;0,920;1,880;0,253;0,099;1,100;0,165;0,585;1,332;0,150
out/01;ETANOL HIDRATADO;NORDESTE;PARAIBA;458;R$/l;1,125;0,065;0,939;1,390;0,203;0,058;0,922;0,100;0,553;1,092;0,108
out/01;ETANOL HIDRATADO;SUL;PARANA;2846;R$/l;0,964;0,068;0,659;1,150;0,220;0,071;0,745;0,067;0,501;1,049;0,090
out/01;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;1733;R$/l;1,076;0,130;0,700;1,490;0,186;0,121;0,890;0,095;0,520;1,069;0,107
out/01;ETANOL HIDRATADO;NORDESTE;PIAUI;348;R$/l;1,276;0,041;0,870;1,340;0,246;0,032;1,030;0,075;0,794;1,231;0,072
out/01;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;3601;R$/l;1,044;0,143;0,700;1,420;0,213;0,137;0,832;0,140;0,480;1,191;0,168
out/01;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;420;R$/l;1,148;0,060;1,000;1,300;0,162;0,052;0,986;0,095;0,596;1,256;0,097
out/01;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;2723;R$/l;1,202;0,121;0,871;1,510;0,281;0,101;0,921;0,106;0,519;1,280;0,115
out/01;ETANOL HIDRATADO;NORTE;RONDONIA;376;R$/l;1,267;0,055;1,130;1,500;0,291;0,044;0,977;0,110;0,616;1,152;0,113
out/01;ETANOL HIDRATADO;NORTE;RORAIMA;117;R$/l;1,297;0,022;1,220;1,340;0,246;0,017;1,051;0,019;1,033;1,098;0,018
out/01;ETANOL HIDRATADO;SUL;SANTA CATARINA;1600;R$/l;1,159;0,081;0,837;1,490;0,268;0,070;0,892;0,101;0,510;1,107;0,114
out/01;ETANOL HIDRATADO;SUDESTE;SAO PAULO;13507;R$/l;0,880;0,103;0,650;1,300;0,179;0,117;0,701;0,103;0,400;1,093;0,146
out/01;ETANOL HIDRATADO;NORDESTE;SERGIPE;238;R$/l;1,146;0,050;1,050;1,490;0,188;0,043;0,958;0,121;0,540;1,148;0,126
out/01;ETANOL HIDRATADO;NORTE;TOCANTINS;188;R$/l;1,214;0,057;1,100;1,500;0,362;0,047;0,852;0,120;0,617;1,125;0,141
nov/01;ETANOL HIDRATADO;NORTE;ACRE;103;R$/l;1,330;0,060;1,250;1,470;0,255;0,045;1,075;0,105;0,868;1,266;0,097
nov/01;ETANOL HIDRATADO;NORDESTE;ALAGOAS;361;R$/l;1,100;0,063;0,940;1,290;0,216;0,057;0,884;0,115;0,529;1,185;0,130
