MÊS;PRODUTO;REGIÃO;ESTADO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;;;;
jan/13;ETANOL HIDRATADO;NORTE;ACRE;166;R$/l;2,552;0,132;2,350;3,120;0,367;0,052;2,185;0,126;1,624;2,475;0,058;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;ALAGOAS;460;R$/l;2,303;0,071;2,150;2,600;0,256;0,031;2,047;0,081;1,707;2,228;0,040;;;;
jan/13;ETANOL HIDRATADO;NORTE;AMAPA;38;R$/l;2,258;0,048;2,150;2,320;0,285;0,021;1,973;0,000;1,973;1,973;0,000;;;;
jan/13;ETANOL HIDRATADO;NORTE;AMAZONAS;376;R$/l;2,319;0,087;2,220;2,950;0,198;0,038;2,121;0,046;1,994;2,227;0,022;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;BAHIA;2029;R$/l;2,187;0,123;1,840;2,640;0,282;0,056;1,905;0,113;1,526;2,424;0,059;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;CEARA;945;R$/l;2,232;0,084;2,079;2,500;0,175;0,038;2,057;0,062;1,733;2,194;0,030;;;;
jan/13;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;400;R$/l;2,271;0,022;2,170;2,299;0,403;0,010;1,868;0,104;1,544;2,041;0,056;;;;
jan/13;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;826;R$/l;2,456;0,088;2,110;2,790;0,324;0,036;2,132;0,093;1,942;2,384;0,044;;;;
jan/13;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;1155;R$/l;1,939;0,116;1,497;2,280;0,259;0,060;1,680;0,088;1,460;2,057;0,052;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;MARANHAO;474;R$/l;2,282;0,146;1,969;2,720;0,230;0,064;2,052;0,114;1,637;2,314;0,056;;;;
jan/13;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;687;R$/l;1,960;0,074;1,660;2,210;0,397;0,038;1,563;0,083;1,410;1,800;0,053;;;;
jan/13;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;653;R$/l;2,107;0,145;1,899;2,449;0,295;0,069;1,812;0,082;1,631;2,008;0,045;;;;
jan/13;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;4517;R$/l;2,095;0,112;1,770;2,499;0,267;0,053;1,828;0,106;1,432;2,202;0,058;;;;
jan/13;ETANOL HIDRATADO;NORTE;PARA;417;R$/l;2,426;0,153;2,090;3,000;0,270;0,063;2,156;0,103;1,760;2,298;0,048;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;PARAIBA;560;R$/l;2,176;0,075;1,977;2,430;0,228;0,034;1,948;0,072;1,707;2,118;0,037;;;;
jan/13;ETANOL HIDRATADO;SUL;PARANA;2773;R$/l;1,974;0,082;1,730;2,290;0,236;0,042;1,738;0,058;1,442;1,968;0,033;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;1511;R$/l;2,156;0,123;1,920;2,680;0,232;0,057;1,924;0,093;1,748;2,262;0,048;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;PIAUI;304;R$/l;2,321;0,078;2,190;2,590;0,185;0,034;2,136;0,078;1,907;2,184;0,037;;;;
jan/13;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;3546;R$/l;2,243;0,181;1,799;2,749;0,316;0,081;1,927;0,178;1,436;2,463;0,092;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;541;R$/l;2,273;0,059;2,110;2,490;0,244;0,026;2,029;0,078;1,736;2,266;0,038;;;;
jan/13;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;2688;R$/l;2,382;0,112;2,099;2,770;0,284;0,047;2,098;0,076;1,708;2,346;0,036;;;;
jan/13;ETANOL HIDRATADO;NORTE;RONDONIA;374;R$/l;2,365;0,081;2,150;2,670;0,279;0,034;2,086;0,095;1,924;2,235;0,046;;;;
jan/13;ETANOL HIDRATADO;NORTE;RORAIMA;58;R$/l;2,561;0,080;2,290;2,600;0,333;0,031;2,228;0,086;1,897;2,342;0,039;;;;
jan/13;ETANOL HIDRATADO;SUL;SANTA CATARINA;1845;R$/l;2,378;0,081;2,090;2,750;0,305;0,034;2,073;0,070;1,781;2,252;0,034;;;;
jan/13;ETANOL HIDRATADO;SUDESTE;SAO PAULO;11736;R$/l;1,829;0,099;1,479;2,499;0,258;0,054;1,571;0,077;1,220;1,870;0,049;;;;
jan/13;ETANOL HIDRATADO;NORDESTE;SERGIPE;249;R$/l;2,335;0,068;2,190;2,475;0,242;0,029;2,093;0,059;1,945;2,200;0,028;;;;
jan/13;ETANOL HIDRATADO;NORTE;TOCANTINS;256;R$/l;2,156;0,074;1,990;2,390;0,316;0,034;1,840;0,114;1,703;2,096;0,062;;;;
jan/13;GASOLINA COMUM;NORTE;ACRE;260;R$/l;3,128;0,152;3,020;3,500;0,510;0,049;2,618;0,122;2,472;2,890;0,047;;;;
